PID: 1, Name: launchd, CPU: 1.12%, Memory: 8798208 bytes
PID: 305, Name: logd, CPU: 0.16%, Memory: 10076160 bytes
PID: 307, Name: UserEventAgent, CPU: 0.01%, Memory: 4898816 bytes
PID: 309, Name: uninstalld, CPU: 0.00%, Memory: 1441792 bytes
PID: 310, Name: fseventsd, CPU: 0.21%, Memory: 6225920 bytes
PID: 314, Name: systemstats, CPU: 0.01%, Memory: 7208960 bytes
PID: 316, Name: configd, CPU: 0.02%, Memory: 4259840 bytes
PID: 318, Name: powerd, CPU: 0.03%, Memory: 5783552 bytes
PID: 323, Name: remoted, CPU: 0.00%, Memory: 2146304 bytes
PID: 328, Name: watchdogd, CPU: 0.00%, Memory: 1687552 bytes
PID: 332, Name: mds, CPU: 1.00%, Memory: 17809408 bytes
PID: 334, Name: kernelmanagerd, CPU: 0.00%, Memory: 3915776 bytes
PID: 335, Name: diskarbitrationd, CPU: 0.03%, Memory: 2457600 bytes
PID: 340, Name: syslogd, CPU: 0.00%, Memory: 491520 bytes
PID: 343, Name: thermalmonitord, CPU: 0.02%, Memory: 2949120 bytes
PID: 344, Name: opendirectoryd, CPU: 0.09%, Memory: 10174464 bytes
PID: 345, Name: apsd, CPU: 0.01%, Memory: 5521408 bytes
PID: 346, Name: launchservicesd, CPU: 0.04%, Memory: 5472256 bytes
PID: 347, Name: timed, CPU: 0.00%, Memory: 2965504 bytes
PID: 348, Name: usbmuxd, CPU: 0.00%, Memory: 2129920 bytes
PID: 349, Name: securityd, CPU: 0.01%, Memory: 4521984 bytes
PID: 354, Name: autofsd, CPU: 0.00%, Memory: 1867776 bytes
PID: 355, Name: dasd, CPU: 0.09%, Memory: 6225920 bytes
PID: 356, Name: kdc, CPU: 0.00%, Memory: 2326528 bytes
PID: 358, Name: distnoted, CPU: 0.02%, Memory: 2768896 bytes
PID: 362, Name: logind, CPU: 0.00%, Memory: 3096576 bytes
PID: 363, Name: revisiond, CPU: 0.00%, Memory: 3948544 bytes
PID: 364, Name: KernelEventAgent, CPU: 0.00%, Memory: 1048576 bytes
PID: 367, Name: bluetoothd, CPU: 0.09%, Memory: 9469952 bytes
PID: 368, Name: notifyd, CPU: 0.05%, Memory: 2605056 bytes
PID: 370, Name: corebrightnessd, CPU: 0.08%, Memory: 4669440 bytes
PID: 371, Name: AirPlayXPCHelper, CPU: 0.00%, Memory: 4308992 bytes
PID: 374, Name: syspolicyd, CPU: 0.33%, Memory: 25214976 bytes
PID: 375, Name: WindowServer, CPU: 4.14%, Memory: 70385664 bytes
PID: 376, Name: cfprefsd, CPU: 0.06%, Memory: 3178496 bytes
PID: 379, Name: loginwindow, CPU: 0.06%, Memory: 12681216 bytes
